Hahót;15
Hajdúbagos;20
Hajdúböszörmény;20
Hajdúdorog;20
Hajdúhadház;20
Hajdúnánás;20
Hajdúsámson;20
Hajdúszoboszló;20
Hajdúszovát;20
Hajmás;17
Hajmáskér;10
Hajós;13
Halastó;9
Halászi;7
Halásztelek;8
Halimba;10
Halmaj;6
Halmajugra;5
Halogy;9
Hangács;6
Hangony;6
Hantos;2
Harasztifalu;9
Harc;18
Harka;7
Harkakötöny;13
Harkány;4
Háromfa;17
Háromhuta;6
Harsány;6
Hárskút;10
Harta;13
Hásságy;4
Hatvan;5
Hédervár;7
Hedrehely;17
Hegyesd;10
Hegyeshalom;7
Hegyfalu;9
Hegyháthodász;9
Hegyhátmaróc;4
Hegyhátsál;9
Hegyhátszentjakab;9
Hegyhátszentmárton;9
Hegyhátszentpéter;9
Hegykő;7
Hegymagas;10
Hegymeg;6
Hegyszentmárton;4
Héhalom;19
Hejce;6
Hejőbába;6
Hejőkeresztúr;6
Hejőkürt;6
Hejőpapi;6
Hejőszalonta;6
Helesfa;4
Helvécia;13
Hencida;20
Hencse;17
Herceghalom;8
Hercegkút;6
Hercegszántó;13
Heréd;5
Héreg;12
Herencsény;19
Herend;10
Heresznye;17
Hermánszeg;11
Hernád;8
Hernádbűd;6
Hernádcéce;6
Hernádkak;6
Hernádkércs;6
Hernádnémeti;6
Hernádpetri;6
Hernádszentandrás;6
Hernádszurdok;6
Hernádvécse;6
Hernyék;15
Hét;6
Hetefejércse;11
Hetes;17
Hetvehely;4
Hetyefő;10
Heves;5
Hevesaranyos;5
Hevesvezekény;5
Hévíz;15
Hévízgyörk;8
Hidas;4
Hidasnémeti;6
Hidegkút;10
Hidegség;7
Hidvégardó;6
Himesháza;4
Himod;7
Hirics;4
Hobol;4
Hodász;11
Hódmezővásárhely;14
Hollád;17
Hollóháza;6
Hollókő;19
Homokbödöge;10
Homokkomárom;15
Homokmégy;13
Homokszentgyörgy;17
Homorúd;4
Homrogd;6
Hont;19
Horpács;19
Hort;5
Hortobágy;20
Horváthertelend;4
Horvátlövő;9
Horvátzsidány;9
Hosszúhetény;4
Hosszúpályi;20
Hosszúpereszteg;9
Hosszúvíz;17
Hosszúvölgy;15
Hosztót;10
Hottó;15
Hőgyész;18
Hövej;7
Hugyag;19
Hunya;16
Hunyadfalva;3
Husztót;4
Ibafa;4
Iborfia;15
Ibrány;11
Igal;17
Igar;2
Igrici;6
Iharos;17
Iharosberény;17
Ikervár;9
Iklad;8
Iklanberény;9
Iklódbördőce;15
Ikrény;7
Iliny;19
Ilk;11
Illocska;4
Imola;6
Imrehegy;13
Ináncs;6
Inárcs;8
Inke;17
Ipacsfa;4
Ipolydamásd;8
Ipolyszög;19
Ipolytarnóc;19
Ipolytölgyes;8
Ipolyvece;19
Iregszemcse;18
Irota;6
Isaszeg;8
Ispánk;9
Istenmezeje;5
Istvándi;17
Iszkaszentgyörgy;2
Iszkáz;10
Isztimér;2
Ivád;5
Iván;7
Ivánbattyán;4
Ivánc;9
Iváncsa;2
Ivándárda;4
Izmény;18
Izsák;13
Izsófalva;6
Jágónak;18
Ják;9
Jakabszállás;13
Jákfa;9
Jákfalva;6
Jákó;17
Jánd;11
Jánkmajtis;11
Jánoshalma;13
Jánosháza;9
Jánoshida;3
Jánossomorja;7
Járdánháza;6
Jármi;11
Jásd;10
Jászágó;3
Jászalsószentgyörgy;3
Jászapáti;3
Jászárokszállás;3
Jászberény;3
Jászboldogháza;3
Jászdózsa;3
Jászfelsőszentgyörgy;3
Jászfényszaru;3
Jászivány;3
Jászjákóhalma;3
Jászkarajenő;8
Jászkisér;3
Jászladány;3
Jászszentandrás;3
Jászszentlászló;13
Jásztelek;3
Jéke;11
Jenő;2
Jobaháza;7
